--- Step 04650 | Actual: Kutztown, US ---
  1.  64.7% |  6173 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8612 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  9341 km | Guess: ( 56.51,  27.33)

--- Step 06088 | Actual: Chatham, US ---
  1.  78.1% |  5447 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6212 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  7573 km | Guess: ( 56.51,  27.33)

--- Step 06100 | Actual: Gavrilov-Yam, RU ---
  1.  79.4% | 12738 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2926 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |   768 km | Guess: ( 56.51,  27.33)

--- Step 06113 | Actual: Gulfport, US ---
  1.  25.8% |  4474 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8587 km | Guess: ( 56.51,  27.33)
  3.   0.0% |   597 km | Guess: ( 33.09, -83.26)

--- Step 06125 | Actual: Victoria, CA ---
  1.  25.4% |  8126 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3599 km | Guess: ( 37.46, -81.06)
  3.   0.0% |  3727 km | Guess: ( 33.09, -83.26)

--- Step 06138 | Actual: Helsinge, DK ---
  1.  56.3% | 11074 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1020 km | Guess: ( 47.83,  18.94)
  3.   0.0% |   934 km | Guess: ( 56.51,  27.33)

--- Step 06150 | Actual: Orsundsbro, SE ---
  1.  56.3% | 11413 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15563 km | Guess: (-33.12, 151.55)
  3.   0.0% |  1790 km | Guess: ( 48.20,  -1.73)

--- Step 06163 | Actual: Watertown, US ---
  1.  27.6% |  6086 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1478 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  6683 km | Guess: ( 47.83,  18.94)

--- Step 06175 | Actual: Sandusky, US ---
  1.  63.3% |  5982 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7317 km | Guess: ( 56.51,  27.33)
  3.   0.0% | 15205 km | Guess: (-33.12, 151.55)

--- Step 06188 | Actual: Lamduan, TH ---
  1.  61.1% | 19729 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7350 km | Guess: (-33.12, 151.55)
  3.   0.0% |  7817 km | Guess: ( 56.51,  27.33)

--- Step 06200 | Actual: Batikent, TR ---
  1.  27.1% | 12547 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9081 km | Guess: ( 37.46, -81.06)
  3.   0.0% | 14603 km | Guess: (-33.12, 151.55)

--- Step 06213 | Actual: Varel, DE ---
  1.  43.3% | 10770 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6711 km | Guess: ( 37.46, -81.06)
  3.   0.0% | 16356 km | Guess: (-33.12, 151.55)

--- Step 06225 | Actual: Qacha's Nek, LS ---
  1.  62.6% | 10754 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10810 km | Guess: (-33.12, 151.55)
  3.   0.0% |  7543 km | Guess: ( 35.39,   9.05)

--- Step 06238 | Actual: Armona, US ---
  1.  58.7% |  7001 km | Guess: (-12.12, -77.02)
  2.   0.0% | 12004 km | Guess: (-33.12, 151.55)
  3.   0.0% |  3418 km | Guess: ( 37.46, -81.06)

--- Step 06250 | Actual: Kenema, SL ---
  1.  37.7% |  7609 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16692 km | Guess: (-33.12, 151.55)
  3.   0.0% |  7704 km | Guess: ( 37.46, -81.06)

--- Step 06263 | Actual: Taki, IN ---
  1.  21.8% | 18173 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13294 km | Guess: ( 37.46, -81.06)
  3.   0.0% |  8045 km | Guess: ( 52.73,  -0.60)

--- Step 06275 | Actual: Fair Haven, US ---
  1.  47.7% |  6206 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15991 km | Guess: (-33.12, 151.55)
  3.   0.0% |  6830 km | Guess: ( 35.39,   9.05)

--- Step 06288 | Actual: Armissan, FR ---
  1.  70.5% | 10144 km | Guess: (-12.12, -77.02)
  2.   0.0% | 17059 km | Guess: (-33.12, 151.55)
  3.   0.0% |  1040 km | Guess: ( 52.40,   5.37)

--- Step 06300 | Actual: Sinaia, RO ---
  1.  15.7% | 11942 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10684 km | Guess: ( 12.13, -86.27)
  3.   0.0% |  1714 km | Guess: ( 34.81,  10.77)

--- Step 06313 | Actual: Iwaki, JP ---
  1.  81.7% | 15346 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7870 km | Guess: (-33.12, 151.55)
  3.   0.0% | 12669 km | Guess: ( 12.13, -86.27)

--- Step 06325 | Actual: Alges, PT ---
  1.  46.1% |  9003 km | Guess: (-12.12, -77.02)
  2.   0.0% | 18180 km | Guess: (-33.12, 151.55)
  3.   0.0% |  6117 km | Guess: ( 37.46, -81.06)

--- Step 06338 | Actual: Yokohama, JP ---
  1.  22.5% | 15514 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7736 km | Guess: (-33.12, 151.55)
  3.   0.0% | 10880 km | Guess: ( 37.46, -81.06)

--- Step 06350 | Actual: Lincoln, NZ ---
  1.  62.7% | 10644 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2178 km | Guess: (-33.12, 151.55)
  3.   0.0% | 15428 km | Guess: ( 54.81,  56.07)

--- Step 06363 | Actual: Vila Nova de Cerveira, PT ---
  1.  34.3% |  9185 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8083 km | Guess: ( 12.13, -86.27)
  3.   0.0% |  1870 km | Guess: ( 34.81,  10.77)

--- Step 06375 | Actual: Horley, GB ---
  1.  39.4% | 10161 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16972 km | Guess: (-33.12, 151.55)
  3.   0.0% |  8298 km | Guess: ( 41.48, -122.45)

--- Step 06388 | Actual: Na Haeo, TH ---
  1.  73.3% | 19367 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7791 km | Guess: (-33.12, 151.55)
  3.   0.0% |  4960 km | Guess: ( 17.01,  54.05)

--- Step 06400 | Actual: Al Jahra', KW ---
  1.   4.6% | 14022 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3519 km | Guess: ( 34.81,  10.77)
  3.   0.0% | 10876 km | Guess: ( 37.46, -81.06)

--- Step 06413 | Actual: Oktjabr'skij, BY ---
  1.  72.0% | 12085 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15063 km | Guess: (-33.12, 151.55)
  3.   0.0% |  7801 km | Guess: ( 37.46, -81.06)

--- Step 06425 | Actual: Bad Herrenalb, DE ---
  1.  70.4% | 10691 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16508 km | Guess: (-33.12, 151.55)
  3.   0.0% |  6516 km | Guess: ( 41.03, -78.44)

--- Step 06438 | Actual: Kokotow, PL ---
  1.  48.8% | 11542 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15657 km | Guess: (-33.12, 151.55)
  3.   0.0% |  2468 km | Guess: ( 54.81,  56.07)

--- Step 06450 | Actual: Al Khankah, EG ---
  1.  52.3% | 12468 km | Guess: (-12.12, -77.02)
  2.   0.0% | 14386 km | Guess: (-33.12, 151.55)
  3.   0.0% |  3367 km | Guess: ( 54.81,  56.07)

--- Step 06463 | Actual: Grunberg, DE ---
  1.  56.8% | 10763 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1508 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  3151 km | Guess: ( 54.81,  56.07)

--- Step 06475 | Actual: Umatilla, US ---
  1.  76.9% |  4594 km | Guess: (-12.12, -77.02)
  2.   0.0% | 14983 km | Guess: (-33.12, 151.55)
  3.   0.0% |  8251 km | Guess: ( 35.39,   9.05)

--- Step 06488 | Actual: Hammarstrand, SE ---
  1.  52.3% | 11365 km | Guess: (-12.12, -77.02)
  2.   0.0% |   495 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  3123 km | Guess: ( 35.39,   9.05)

--- Step 06500 | Actual: Toyooka, JP ---
  1.  30.4% | 15879 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7839 km | Guess: (-33.12, 151.55)
  3.   0.0% |  6169 km | Guess: ( 54.81,  56.07)

--- Step 06513 | Actual: Bodolz, DE ---
  1.  72.2% | 10753 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16455 km | Guess: (-33.12, 151.55)
  3.   0.0% |  1767 km | Guess: ( 61.01,  24.48)

--- Step 06525 | Actual: Jessup, US ---
  1.  68.7% |  5703 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6823 km | Guess: ( 61.01,  24.48)
  3.   0.0% | 15678 km | Guess: (-33.12, 151.55)

--- Step 06538 | Actual: Cantanhede, PT ---
  1.  60.2% |  9132 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1638 km | Guess: ( 35.39,   9.05)
  3.   0.0% | 18071 km | Guess: (-33.12, 151.55)

--- Step 06550 | Actual: Parakai, NZ ---
  1.  56.9% | 10796 km | Guess: (-12.12, -77.02)
  2.   0.0% | 18701 km | Guess: ( 35.39,   9.05)
  3.   0.0% |  2125 km | Guess: (-33.12, 151.55)

--- Step 06563 | Actual: Point Clare, AU ---
  1.  52.8% | 12823 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16559 km | Guess: ( 35.39,   9.05)
  3.   0.0% |    47 km | Guess: (-33.12, 151.55)

--- Step 06575 | Actual: Grand Forks, CA ---
  1.  67.2% |  7896 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9291 km | Guess: ( 35.39,   9.05)
  3.   0.0% | 12728 km | Guess: (-33.12, 151.55)

--- Step 06588 | Actual: Woodbury, US ---
  1.  76.6% |  5957 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6991 km | Guess: ( 35.39,   9.05)
  3.   0.0% | 15921 km | Guess: (-33.12, 151.55)

--- Step 06600 | Actual: Vecumnieki, LV ---
  1.  60.5% | 11841 km | Guess: (-12.12, -77.02)
  2.   0.0% |   506 km | Guess: ( 61.01,  24.48)
  3.   0.0% |   887 km | Guess: ( 48.75,  21.22)

--- Step 06613 | Actual: Applewood, US ---
  1.  69.3% |  6462 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9283 km | Guess: ( 35.39,   9.05)
  3.   0.0% | 13325 km | Guess: (-33.12, 151.55)

--- Step 06625 | Actual: Santos, BR ---
  1.  16.3% |  3494 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10946 km | Guess: ( 47.12, -122.28)
  3.   0.0% |  7594 km | Guess: ( 33.58,  -7.58)

--- Step 06638 | Actual: Cleve, AU ---
  1.  62.9% | 13824 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15249 km | Guess: ( 35.39,   9.05)
  3.   0.0% |  1399 km | Guess: (-33.12, 151.55)

--- Step 06650 | Actual: Cilumping, ID ---
  1.  40.2% | 17780 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10418 km | Guess: ( 48.75,  21.22)
  3.   0.0% | 13472 km | Guess: ( 47.12, -122.28)

--- Step 06663 | Actual: Saku, EE ---
  1.  41.6% | 11827 km | Guess: (-12.12, -77.02)
  2.   0.0% |   199 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  6379 km | Guess: ( 43.36, -73.15)

--- Step 06675 | Actual: Gharo, PK ---
  1.  42.6% | 16055 km | Guess: (-12.12, -77.02)
  2.   0.0% |  5175 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  5687 km | Guess: ( 58.83,  12.52)

--- Step 06688 | Actual: Ellijay, US ---
  1.  74.9% |  5263 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7605 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  7140 km | Guess: ( 58.83,  12.52)

--- Step 06700 | Actual: Fontana, AR ---
  1.  61.8% |  2533 km | Guess: (-12.12, -77.02)
  2.   0.0% | 12316 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  8004 km | Guess: ( 43.36, -73.15)

--- Step 06713 | Actual: Doha, QA ---
  1.   2.3% | 14438 km | Guess: (-12.12, -77.02)
  2.   0.0% |  5724 km | Guess: ( 33.58,  -7.58)
  3.   0.0% | 14100 km | Guess: ( 21.13, -101.70)

--- Step 06725 | Actual: Oranmore, IE ---
  1.  59.3% |  9694 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2156 km | Guess: ( 61.01,  24.48)
  3.   0.0% |  6033 km | Guess: ( 52.18, -106.62)

--- Step 06738 | Actual: Tsukumiura, JP ---
  1.  62.3% | 16237 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8610 km | Guess: ( 48.75,  21.22)
  3.   0.0% |  8348 km | Guess: ( 58.83,  12.52)

--- Step 06750 | Actual: Westfield, US ---
  1.  71.0% |  6339 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6569 km | Guess: ( 58.83,  12.52)
  3.   0.0% |  7720 km | Guess: ( 48.75,  21.22)

--- Step 06763 | Actual: Srandakan, ID ---
  1.  65.1% | 17644 km | Guess: (-12.12, -77.02)
  2.   0.0% | 11206 km | Guess: ( 58.83,  12.52)
  3.   0.0% | 10598 km | Guess: ( 48.75,  21.22)

--- Step 06775 | Actual: Bandarlampung, ID ---
  1.  29.4% | 18046 km | Guess: (-12.12, -77.02)
  2.   0.0% | 14052 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  8102 km | Guess: (-28.77,  31.87)

--- Step 06788 | Actual: Acilia-Castel Fusano-Ostia Antica, IT ---
  1.  49.0% | 10849 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8040 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  1903 km | Guess: ( 58.83,  12.52)

--- Step 06800 | Actual: Linnich, DE ---
  1.  55.8% | 10590 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6939 km | Guess: ( 52.18, -106.62)
  3.   0.0% |   961 km | Guess: ( 58.83,  12.52)

--- Step 06813 | Actual: Tollarp, SE ---
  1.  55.8% | 11204 km | Guess: (-12.12, -77.02)
  2.   0.0% |   314 km | Guess: ( 58.83,  12.52)
  3.   0.0% |  5999 km | Guess: ( 43.36, -73.15)

--- Step 06825 | Actual: Spring Valley, US ---
  1.  32.0% |  6697 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8678 km | Guess: ( 41.16,  -7.88)
  3.   0.0% |  9537 km | Guess: ( 49.30,  19.95)

--- Step 06838 | Actual: Campina Grande do Sul, BR ---
  1.  73.2% |  3291 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10895 km | Guess: ( 58.83,  12.52)
  3.   0.0% | 10747 km | Guess: ( 48.75,  21.22)

--- Step 06850 | Actual: Pissouri, CY ---
  1.  58.6% | 12564 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9576 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  3063 km | Guess: ( 58.83,  12.52)

--- Step 06863 | Actual: Are, SE ---
  1.  64.9% | 11203 km | Guess: (-12.12, -77.02)
  2.   0.0% |   511 km | Guess: ( 58.83,  12.52)
  3.   0.0% |  6131 km | Guess: ( 52.18, -106.62)

--- Step 06875 | Actual: Lynchburg, US ---
  1.  74.7% |  5178 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7641 km | Guess: ( 58.83,  12.52)
  3.   0.0% |  2532 km | Guess: ( 52.18, -106.62)

--- Step 06888 | Actual: Sillamae, EE ---
  1.  35.5% | 12002 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6952 km | Guess: ( 52.18, -106.62)
  3.   0.0% |   872 km | Guess: ( 58.83,  12.52)

--- Step 06900 | Actual: Cheboksary, RU ---
  1.  44.9% | 13206 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9552 km | Guess: (-28.77,  31.87)
  3.   0.0% |  7736 km | Guess: ( 52.18, -106.62)

--- Step 06913 | Actual: Schwelm, DE ---
  1.  52.2% | 10662 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6955 km | Guess: ( 52.18, -106.62)
  3.   0.0% |   906 km | Guess: ( 58.83,  12.52)

--- Step 06925 | Actual: Bridgeport, US ---
  1.  37.6% |  5725 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2475 km | Guess: ( 52.18, -106.62)
  3.   0.0% | 13798 km | Guess: (-28.77,  31.87)

--- Step 06938 | Actual: Heroica Guaymas, MX ---
  1.  56.9% |  5786 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2691 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  9033 km | Guess: ( 58.83,  12.52)

--- Step 06950 | Actual: Idanha-a-Nova, PT ---
  1.  44.4% |  9212 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7176 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  2524 km | Guess: ( 58.83,  12.52)

--- Step 06963 | Actual: Postupice, CZ ---
  1.  70.2% | 11161 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7410 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  1020 km | Guess: ( 58.83,  12.52)

--- Step 06975 | Actual: Warroad, US ---
  1.  57.8% |  7014 km | Guess: (-12.12, -77.02)
  2.   0.0% |   879 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  6375 km | Guess: ( 58.83,  12.52)

--- Step 06988 | Actual: Jauja, PE ---
  1.  14.3% |   171 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2005 km | Guess: (  6.26, -75.56)
  3.   0.0% | 14166 km | Guess: ( 26.23,  50.59)

--- Step 07000 | Actual: Degeberga, SE ---
  1.  71.3% | 11181 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6841 km | Guess: ( 52.18, -106.62)
  3.   0.0% |   358 km | Guess: ( 58.83,  12.52)

--- Step 07013 | Actual: Slobozia Moara, RO ---
  1.  68.3% | 11954 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8327 km | Guess: ( 52.18, -106.62)
  3.   0.0% |  1817 km | Guess: ( 58.83,  12.52)

--- Step 07025 | Actual: Midrand, ZA ---
  1.  28.9% | 10879 km | Guess: (-12.12, -77.02)
  2.   0.0% |   483 km | Guess: (-28.77,  31.87)
  3.   0.0% |  8341 km | Guess: ( 41.16,  -7.88)

--- Step 07038 | Actual: Engerwitzdorf, AT ---
  1.  43.5% | 11124 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9013 km | Guess: ( 32.57, 130.69)
  3.   0.0% |  7784 km | Guess: ( 32.05, -81.06)

--- Step 07050 | Actual: Blackwall, AU ---
  1.  48.7% | 12811 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15884 km | Guess: ( 58.83,  12.52)
  3.   0.0% | 12458 km | Guess: ( 49.19, -123.15)

--- Step 07063 | Actual: Arvika, SE ---
  1.  60.9% | 11157 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8790 km | Guess: ( 26.21, 127.71)
  3.   0.0% |  6453 km | Guess: ( 52.18, -106.62)

--- Step 07075 | Actual: Oberon, AU ---
  1.  78.0% | 12899 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15831 km | Guess: ( 58.83,  12.52)
  3.   0.0% | 15601 km | Guess: ( 49.30,  19.95)

--- Step 07088 | Actual: Hsinchu, TW ---
  1.  18.8% | 17655 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13076 km | Guess: ( 29.99, -90.16)
  3.   0.0% | 11222 km | Guess: (-28.77,  31.87)

--- Step 07100 | Actual: De Forest, US ---
  1.  76.9% |  6286 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6608 km | Guess: ( 58.83,  12.52)
  3.   0.0% |  2655 km | Guess: ( 49.19, -123.15)

--- Step 07113 | Actual: Naka, JP ---
  1.  32.9% | 15444 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13385 km | Guess: (-28.77,  31.87)
  3.   0.0% | 16954 km | Guess: (-17.78, -63.17)

--- Step 07125 | Actual: Redcar, GB ---
  1.  42.4% | 10221 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7277 km | Guess: ( 29.99, -90.16)
  3.   0.0% |  9794 km | Guess: (-28.77,  31.87)

--- Step 07138 | Actual: Abda, HU ---
  1.  75.2% | 11340 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8599 km | Guess: ( 49.19, -123.15)
  3.   0.0% |  7714 km | Guess: ( 52.18, -106.62)

--- Step 07150 | Actual: Glasgow, US ---
  1.  56.2% |  5542 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2332 km | Guess: ( 52.11, -106.64)
  3.   0.0% | 14235 km | Guess: (-28.77,  31.87)

--- Step 07163 | Actual: Ainazi, LV ---
  1.  80.7% | 11819 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7742 km | Guess: ( 49.19, -123.15)
  3.   0.0% |  1783 km | Guess: ( 51.25,  -1.05)

--- Step 07175 | Actual: Riorges, FR ---
  1.  31.5% | 10300 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9761 km | Guess: ( 32.57, 130.69)
  3.   0.0% |  8779 km | Guess: (-28.77,  31.87)

--- Step 07188 | Actual: Barretos, BR ---
  1.  85.3% |  3163 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10650 km | Guess: ( 49.19, -123.15)
  3.   0.0% |  9218 km | Guess: ( 51.25,  -1.05)

--- Step 07200 | Actual: Langgons, DE ---
  1.  39.7% | 10742 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8020 km | Guess: ( 49.19, -123.15)
  3.   0.0% |  9603 km | Guess: ( 26.21, 127.71)
